year,round,raceName,date,circuitName,country,location,lat,lng
1953,4,Belgian Grand Prix,1953-06-21,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139
1953,5,French Grand Prix,1953-07-05,Reims-Gueux,France,Reims,49.2542,3.93083
1953,6,British Grand Prix,1953-07-18,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694
1953,7,German Grand Prix,1953-08-02,Nürburgring,Germany,Nürburg,50.3356,6.9475
1953,8,Swiss Grand Prix,1953-08-23,Circuit Bremgarten,Switzerland,Bern,46.9589,7.40194
1953,9,Italian Grand Prix,1953-09-13,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111
1954,1,Argentine Grand Prix,1954-01-17,Autódromo Juan y Oscar Gálvez,Argentina,Buenos Aires,-34.6943,-58.4593
1954,2,Indianapolis 500,1954-05-31,Indianapolis Motor Speedway,USA,Indianapolis,39.795,-86.2347
1954,3,Belgian Grand Prix,1954-06-20,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139
1954,4,French Grand Prix,1954-07-04,Reims-Gueux,France,Reims,49.2542,3.93083
1954,5,British Grand Prix,1954-07-17,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694
1954,6,German Grand Prix,1954-08-01,Nürburgring,Germany,Nürburg,50.3356,6.9475
1954,7,Swiss Grand Prix,1954-08-22,Circuit Bremgarten,Switzerland,Bern,46.9589,7.40194
1954,8,Italian Grand Prix,1954-09-05,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111
1954,9,Spanish Grand Prix,1954-10-24,Circuit de Pedralbes,Spain,Barcelona,41.3903,2.11667
1955,1,Argentine Grand Prix,1955-01-16,Autódromo Juan y Oscar Gálvez,Argentina,Buenos Aires,-34.6943,-58.4593
1955,2,Monaco Grand Prix,1955-05-22,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056
1955,3,Indianapolis 500,1955-05-30,Indianapolis Motor Speedway,USA,Indianapolis,39.795,-86.2347
1955,4,Belgian Grand Prix,1955-06-05,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139
1955,5,Dutch Grand Prix,1955-06-19,Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092
1955,6,British Grand Prix,1955-07-16,Aintree,UK,Liverpool,53.4769,-2.94056
1955,7,Italian Grand Prix,1955-09-11,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111
1956,1,Argentine Grand Prix,1956-01-22,Autódromo Juan y Oscar Gálvez,Argentina,Buenos Aires,-34.6943,-58.4593
1956,2,Monaco Grand Prix,1956-05-13,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056
1956,3,Indianapolis 500,1956-05-30,Indianapolis Motor Speedway,USA,Indianapolis,39.795,-86.2347
1956,4,Belgian Grand Prix,1956-06-03,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139
1956,5,French Grand Prix,1956-07-01,Reims-Gueux,France,Reims,49.2542,3.93083
1956,6,British Grand Prix,1956-07-14,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694
1956,7,German Grand Prix,1956-08-05,Nürburgring,Germany,Nürburg,50.3356,6.9475
1956,8,Italian Grand Prix,1956-09-02,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111
1957,1,Argentine Grand Prix,1957-01-13,Autódromo Juan y Oscar Gálvez,Argentina,Buenos Aires,-34.6943,-58.4593
1957,2,Monaco Grand Prix,1957-05-19,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056
1957,3,Indianapolis 500,1957-05-30,Indianapolis Motor Speedway,USA,Indianapolis,39.795,-86.2347
1957,4,French Grand Prix,1957-07-07,Rouen-Les-Essarts,France,Rouen,49.3306,1.00458
1957,5,British Grand Prix,1957-07-20,Aintree,UK,Liverpool,53.4769,-2.94056
1957,6,German Grand Prix,1957-08-04,Nürburgring,Germany,Nürburg,50.3356,6.9475
1957,7,Pescara Grand Prix,1957-08-18,Pescara Circuit,Italy,Pescara,42.475,14.1508
1957,8,Italian Grand Prix,1957-09-08,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111
1958,1,Argentine Grand Prix,1958-01-19,Autódromo Juan y Oscar Gálvez,Argentina,Buenos Aires,-34.6943,-58.4593
1958,2,Monaco Grand Prix,1958-05-18,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056
1958,3,Dutch Grand Prix,1958-05-26,Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092
1958,4,Indianapolis 500,1958-05-30,Indianapolis Motor Speedway,USA,Indianapolis,39.795,-86.2347
1958,5,Belgian Grand Prix,1958-06-15,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139
1958,6,French Grand Prix,1958-07-06,Reims-Gueux,France,Reims,49.2542,3.93083
1958,7,British Grand Prix,1958-07-19,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694
1958,8,German Grand Prix,1958-08-03,Nürburgring,Germany,Nürburg,50.3356,6.9475
1958,9,Portuguese Grand Prix,1958-08-24,Circuito da Boavista,Portugal,Oporto,41.1705,-8.67325
1958,10,Italian Grand Prix,1958-09-07,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111
1958,11,Moroccan Grand Prix,1958-10-19,Ain Diab,Morocco,Casablanca,33.5786,-7.6875
1959,1,Monaco Grand Prix,1959-05-10,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056
1959,2,Indianapolis 500,1959-05-30,Indianapolis Motor Speedway,USA,Indianapolis,39.795,-86.2347
1959,3,Dutch Grand Prix,1959-05-31,Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092
1959,4,French Grand Prix,1959-07-05,Reims-Gueux,France,Reims,49.2542,3.93083
1959,5,British Grand Prix,1959-07-18,Aintree,UK,Liverpool,53.4769,-2.94056
1959,6,German Grand Prix,1959-08-02,AVUS,Germany,Berlin,52.4806,13.2514
1959,7,Portuguese Grand Prix,1959-08-23,Monsanto Park Circuit,Portugal,Lisbon,38.7197,-9.20306
1959,8,Italian Grand Prix,1959-09-13,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111
1959,9,United States Grand Prix,1959-12-12,Sebring International Raceway,USA,Florida,27.4547,-81.3483
1960,1,Argentine Grand Prix,1960-02-07,Autódromo Juan y Oscar Gálvez,Argentina,Buenos Aires,-34.6943,-58.4593
1960,2,Monaco Grand Prix,1960-05-29,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056
1960,3,Indianapolis 500,1960-05-30,Indianapolis Motor Speedway,USA,Indianapolis,39.795,-86.2347
1960,4,Dutch Grand Prix,1960-06-06,Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092
1960,5,Belgian Grand Prix,1960-06-19,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139
1960,6,French Grand Prix,1960-07-03,Reims-Gueux,France,Reims,49.2542,3.93083
1960,7,British Grand Prix,1960-07-16,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694
1960,8,Portuguese Grand Prix,1960-08-14,Circuito da Boavista,Portugal,Oporto,41.1705,-8.67325
1960,9,Italian Grand Prix,1960-09-04,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111
